M/N/K,Performance(M),Performance(N),Performance(K),Performance(M)max,Performance(N)max,Performance(K)max
8,,5.129300,,,17.202766,
16,,12.920576,,,32.527458,
24,,4.283265,,,9.194637,
32,10.387180,10.172757,11.962222,57.369209,64.279343,44.609623
40,,15.689395,,,74.518456,
48,,16.556383,27.469696,,57.653904,56.891029
56,,34.012349,,,98.588112,
64,28.535679,23.373093,24.861259,77.609520,78.120651,41.914940
72,,32.940117,,,92.112061,
80,,41.558474,34.951736,,98.089020,55.039341
88,,39.922414,,,98.533997,
96,49.943254,39.687357,38.130933,101.946281,89.685043,76.056664
104,,45.509337,,,87.619286,
112,,47.230451,58.724096,,99.102112,120.613754
120,,41.946289,,,91.129387,
128,46.179251,40.016513,43.925160,96.585442,82.946068,67.371109
136,,57.726582,,,98.094437,
144,,53.286639,50.212884,,74.234787,75.386604
152,,66.435337,,,103.737007,
160,62.022561,49.788693,56.473893,114.383781,83.406723,101.952362
168,,64.082056,,,97.640053,
176,,69.032389,74.957209,,98.085411,107.756279
184,,63.009540,,,105.279182,
192,68.837214,55.931834,52.226616,114.511261,83.865685,71.415070
200,,69.169683,,,98.592430,
208,,73.368191,59.116426,,100.966408,105.244637
216,,74.143959,,,100.451294,
224,60.400831,57.602973,74.992259,90.518768,88.347092,97.397095
232,,76.266443,,,97.320549,
240,,77.327006,84.514579,,99.967392,122.720467
248,,78.608824,,,104.583061,
256,65.363923,67.898139,64.987377,113.047806,87.349960,93.156990
264,,80.927075,,,97.780128,
272,,86.604280,86.002740,,100.614754,106.757248
280,,83.156949,,,103.219589,
288,86.579475,61.662540,87.393020,118.688461,91.450897,122.723648
296,,83.179885,,,100.880989,
304,,77.684076,84.335759,,92.526291,121.165741
312,,79.606911,,,102.003334,
320,88.331468,70.714418,82.362920,116.521347,96.809052,109.751640
328,,85.930304,,,101.672325,
336,,87.395831,76.567382,,101.329895,116.486847
344,,88.250007,,,98.760979,
352,79.812345,71.040910,90.534302,110.333588,87.732742,123.559784
360,,85.554309,,,100.727806,
368,,84.768320,83.099991,,98.466934,125.213745
376,,90.013300,,,101.286232,
384,77.376010,75.731169,79.712064,116.287758,97.091507,108.527794
392,,85.464993,,,99.039024,
400,,85.518940,92.922989,,101.002266,115.532837
408,,84.418337,,,100.090958,
416,91.112212,68.436441,87.155915,111.895714,95.197968,116.713783
424,,87.594505,,,100.876740,
432,,86.224187,89.736926,,102.294716,124.339256
440,,89.517893,,,100.417801,
448,85.354348,75.513182,83.492885,108.733704,90.635002,110.841454
456,,89.645243,,,101.292290,
464,,89.055891,86.128783,,102.106415,115.898064
472,,87.885966,,,99.264145,
480,90.811675,78.689806,94.386383,111.483131,98.465981,123.000076
488,,89.424215,,,99.868797,
496,,88.506390,98.784418,,102.426079,125.818466
504,,86.855532,,,101.705063,
512,69.739365,78.565062,83.394396,100.905243,98.563293,97.753738
520,,92.763025,,,100.203743,
528,,88.582567,99.223195,,100.169418,112.090370
536,,93.015486,,,103.066170,
544,99.120238,76.026889,97.181765,130.050858,90.309158,110.934639
552,,87.471734,,,100.855972,
560,,91.164573,98.722590,,100.966515,117.759857
568,,87.125815,,,98.417625,
576,91.381459,80.259482,101.295045,108.129967,99.322342,122.356415
584,,91.495075,,,102.611229,
592,,92.253726,104.734724,,102.057304,121.797035
600,,94.184066,,,106.984772,
608,93.925234,84.402247,103.592570,113.874771,96.373520,117.559448
616,,96.206746,,,104.621826,
624,,92.164745,107.217089,,104.472145,127.731895
632,,94.126178,,,107.853844,
640,79.345136,80.804126,102.332650,112.053345,97.954033,119.470337
648,,92.178744,,,104.182259,
656,,93.326550,114.344316,,105.758492,129.459534
664,,95.363616,,,105.180832,
672,96.066343,73.466644,92.796954,127.764153,96.094475,146.033936
680,,91.637995,,,104.644218,
688,,91.939723,119.870738,,102.365433,131.385773
696,,93.112135,,,106.894592,
704,101.808201,85.722973,109.010317,123.663078,100.146881,129.331345
712,,90.804707,,,105.311073,
720,,92.297485,119.912613,,104.799927,134.366806
728,,92.439881,,,116.941475,
736,100.993883,88.120203,120.483739,119.963669,99.799316,148.617813
744,,89.879161,,,99.852776,
752,,91.045103,119.631902,,99.019066,144.388931
760,,94.196930,,,101.449295,
768,80.553685,84.992017,93.346437,100.061455,98.128807,101.741234
776,,93.496789,,,102.083191,
784,,92.274861,98.816114,,104.028084,110.811806
792,,93.585179,,,101.123474,
800,108.459660,85.511423,107.227900,131.133850,100.250748,127.909637
808,,92.946219,,,103.271797,
816,,95.426016,103.776696,,105.340874,126.501724
824,,93.134770,,,99.893845,
832,107.493945,85.965217,105.595873,126.720222,98.023552,116.291199
840,,95.350362,,,104.669632,
848,,97.907881,106.516884,,139.494797,133.311539
856,,93.569531,,,104.172180,
864,109.422826,85.736929,108.872990,126.261650,99.704941,124.932190
872,,93.546611,,,102.269897,
880,,93.413593,111.490990,,103.220520,134.605408
888,,91.967140,,,99.553726,
896,85.361873,84.453062,111.970666,103.283760,95.663437,121.725937
904,,92.878529,,,99.192032,
912,,92.217280,119.588696,,99.138626,140.884430
920,,91.031162,,,102.192131,
928,106.572672,85.887162,118.014149,120.403397,100.618301,134.965302
936,,91.193602,,,98.270676,
944,,92.815452,111.478334,,101.752808,128.508774
952,,92.419665,,,100.745682,
960,110.007661,86.529836,118.682459,128.001648,99.749466,139.929062
968,,92.228339,,,102.457260,
976,,89.181396,123.583366,,97.559044,142.333679
984,,92.217297,,,99.596954,
992,110.639201,87.711730,120.256787,126.208649,98.429649,140.285660
1000,,91.423970,,,97.113113,
1008,,89.819169,125.582175,,98.101242,139.564331
1016,,89.316520,,,94.111923,
1024,82.178852,89.881256,82.598403,94.108650,99.778664,90.930222
1032,,89.509842,,,99.783981,
1040,,88.572516,109.966938,,96.597054,119.063499
1048,,90.841676,,,99.700027,
1056,111.926006,89.444078,110.212528,124.217354,101.053528,117.605064
1064,,86.811618,,,99.907677,
1072,,87.193675,111.028379,,93.318893,120.494057
1080,,87.713446,,,94.122299,
1088,115.413117,91.398248,108.796623,131.288864,99.510361,119.931305
1096,,87.715461,,,93.082123,
1104,,85.724333,114.407729,,103.029373,126.489792
