M/N/K,Performance(M-N),Performance(M-K),Performance(N-K)
64,27.431938,21.239304,32.100628
128,44.159939,46.607685,46.157310
192,42.502598,29.401297,32.244671
256,30.006107,29.387352,25.172171
320,42.001354,42.986279,32.274075
384,41.781174,41.083366,33.064850
448,41.074108,41.371372,40.698822
512,31.102541,21.391436,34.624660
576,40.713112,32.098869,42.567245
640,39.846550,31.828260,40.088379
704,42.030373,32.579887,39.715683
768,32.090115,25.862766,36.148598
832,40.579952,32.702671,36.490562
896,38.075726,32.918568,37.241283
960,39.995872,29.642296,31.882238
1024,29.276966,23.334745,31.440794
1088,40.277542,33.264633,18.073078
1152,38.585754,29.612434,15.226369
1216,39.816181,27.422661,16.034416
1280,33.484108,25.229382,13.762510
1344,40.412014,31.525093,14.904894
1408,40.025215,31.340647,14.401664
1472,39.977390,33.173130,14.430020
1536,30.716467,24.568754,28.248400
1600,39.909542,32.405285,13.437806
1664,40.100021,29.072975,13.266442
1728,40.058601,31.433613,12.939301
1792,36.492203,26.453024,12.093822
1856,40.464733,30.290743,12.916305
1920,40.505455,30.718725,12.566892
1984,40.338081,32.029293,12.714593
2048,17.369101,20.887470,11.618694
