M/N/K,Performance(M),Performance(N),Performance(K),Performance(M)max,Performance(N)max,Performance(K)max
8,,.086092,,,0.140690,
16,,1.645955,,,2.873720,
24,,1.814909,,,4.703757,
32,2.097618,3.398811,2.795116,7.040764,5.327680,4.752540
40,,.775025,,,0.903545,
48,,6.337768,4.291078,,18.197813,7.916914
56,,10.189357,,,21.292805,
64,4.168607,4.677291,7.541919,10.216693,13.957253,11.807693
72,,11.272044,,,19.269213,
80,,10.964298,7.680111,,23.653210,18.860106
88,,12.853645,,,32.520435,
96,7.623073,9.414393,8.161418,17.350296,15.469543,16.741259
104,,2.240584,,,2.332300,
112,,13.775377,10.144026,,35.334480,22.232388
120,,13.444700,,,34.374378,
128,9.352284,10.714633,12.617900,23.462864,16.614948,18.878403
136,,2.846716,,,2.904102,
144,,29.427552,15.419335,,43.073917,23.731934
152,,18.682131,,,43.084949,
160,12.565658,10.095462,9.261234,25.229597,24.526653,21.154182
168,,3.830035,,,6.792363,
176,,26.529679,9.483586,,45.954857,19.430740
184,,26.732769,,,44.359146,
192,15.438980,14.641024,14.197571,29.651972,28.341770,35.685139
200,,4.160643,,,4.270007,
208,,35.877849,9.966655,,48.184834,31.399744
216,,22.284217,,,47.552879,
224,14.040800,17.788501,20.372981,36.670120,35.488441,37.102169
232,,4.716968,,,5.241998,
240,,29.260499,26.232791,,60.894573,45.338154
248,,9.286011,,,16.668438,
256,19.367873,16.558921,20.596040,40.433853,31.552139,35.822590
264,,5.522604,,,5.581088,
272,,23.671644,27.285786,,69.091576,47.460400
280,,5.633192,,,5.757987,
288,15.521853,21.466424,17.800814,40.199120,34.242401,37.932758
296,,14.627459,,,71.925339,
304,,37.812823,25.239190,,69.080696,50.571846
312,,6.219077,,,6.499683,
320,25.440046,20.020398,16.636196,43.674828,48.743626,40.452324
328,,19.970343,,,70.141136,
336,,24.210887,21.544352,,73.144447,44.141556
344,,10.226701,,,38.252033,
352,32.482967,20.781596,17.770771,58.582760,40.051201,50.266640
360,,15.566718,,,59.253288,
368,,34.635227,17.681885,,75.865273,55.571747
376,,24.464588,,,66.709862,
384,27.609213,32.827284,16.071462,46.980331,55.818073,41.131897
392,,25.241928,,,62.392544,
400,,31.424979,17.272007,,80.675621,50.769978
408,,19.426208,,,82.600159,
416,22.654799,21.216038,17.015032,45.456524,49.587456,50.134640
424,,26.057370,,,78.048210,
432,,34.296313,14.832923,,83.026283,43.689632
440,,21.019649,,,62.665253,
448,26.798483,13.081032,17.981774,57.081993,38.619518,53.336060
456,,25.041606,,,78.882263,
464,,30.575005,10.883446,,64.904175,54.199917
472,,32.962530,,,85.640839,
480,34.455866,22.677652,6.687567,55.203648,53.983997,11.110941
488,,29.245479,,,76.801826,
496,,45.869331,10.504631,,86.818558,26.545191
504,,36.300913,,,89.716751,
512,25.487434,25.822977,8.109565,60.295975,58.009552,19.514925
520,,31.393525,,,88.249619,
528,,39.597018,5.619847,,72.208511,5.726266
536,,34.859099,,,72.058449,
544,37.982695,37.119049,14.466094,85.657791,70.920631,63.669659
552,,43.528067,,,89.238609,
560,,30.727432,5.973227,,63.553856,6.430516
568,,37.784710,,,86.361595,
576,10.585968,37.729129,29.352943,11.277752,72.750954,60.237267
584,,46.099019,,,72.994354,
592,,37.238002,34.310181,,87.190613,67.284973
600,,27.801180,,,82.150017,
608,55.471077,20.495814,6.559588,93.017220,64.868469,8.402650
616,,43.271712,,,74.546608,
624,,32.753645,38.146104,,76.435135,79.262474
632,,39.679573,,,70.369270,
640,30.126182,25.954287,23.922442,81.689224,74.291725,66.827919
648,,33.499702,,,86.852577,
656,,34.421275,6.840529,,72.696198,6.906368
664,,35.150659,,,64.232002,
672,14.509033,27.102233,41.324080,21.621559,56.560822,80.055466
680,,35.165242,,,94.166298,
688,,35.932461,7.282180,,90.633156,7.563803
696,,31.979035,,,65.893723,
704,25.837437,30.550834,20.374974,90.744682,77.494034,62.926056
712,,38.802345,,,90.755142,
720,,43.879590,52.581297,,93.242821,86.000633
728,,33.515692,,,76.656647,
736,34.661444,35.738447,8.334709,93.179146,54.820698,14.327723
744,,42.966340,,,88.890770,
752,,39.042537,44.027615,,85.998940,84.210159
760,,41.014596,,,85.448334,
768,40.176219,26.769462,7.727380,64.729759,69.401428,8.152964
776,,41.220734,,,82.225555,
784,,56.613443,7.909153,,85.058388,8.131037
792,,38.167004,,,75.437622,
800,27.848848,39.246904,21.633261,90.665459,80.566483,68.301498
808,,40.879768,,,81.439468,
816,,51.460001,44.460176,,94.067146,91.800224
824,,48.694041,,,91.758904,
832,12.997286,33.459458,38.955808,13.883927,69.251953,79.760338
840,,41.537532,,,83.944794,
848,,35.824861,27.262182,,84.603333,93.234840
856,,25.630694,,,52.559315,
864,49.039869,18.984465,8.825634,75.402748,32.350605,9.221679
872,,29.930096,,,80.138054,
880,,43.310290,23.319715,,76.498177,97.554222
888,,33.272564,,,70.122841,
896,47.825985,25.601155,9.015055,86.288139,60.459637,10.360131
904,,34.081683,,,65.324821,
912,,35.689590,22.645781,,82.588158,69.602341
920,,37.834540,,,94.100121,
928,45.159958,25.851120,9.580529,85.392639,59.851814,9.640768
936,,37.114184,,,86.432602,
944,,32.079580,48.797521,,63.638802,96.971642
952,,33.679369,,,85.913399,
960,38.933776,24.233089,19.452845,76.883194,54.028149,97.327705
968,,27.229492,,,45.327084,
976,,25.985239,42.351478,,54.809986,89.521713
984,,32.235846,,,95.521339,
992,31.248249,19.593731,28.279235,70.037476,36.985168,101.237091
1000,,33.277989,,,81.092278,
1008,,26.151558,39.324080,,59.323044,87.471825
1016,,28.444103,,,59.710468,
1024,31.822231,24.336063,9.759523,74.505325,57.503613,9.967203
1032,,32.644641,,,70.230850,
1040,,27.140007,64.827316,,78.552704,97.801453
1048,,44.598622,,,99.054153,
1056,51.258137,27.190547,47.540665,79.575577,74.284050,104.079071
1064,,30.150079,,,56.758713,
1072,,27.987096,50.826881,,53.815887,98.893700
1080,,38.068422,,,98.750664,
1088,60.228524,16.164714,41.110745,95.852615,39.014278,98.415268
1096,,36.203487,,,100.250496,
1104,,40.624116,54.379890,,95.776398,92.432373
1112,,38.917585,,,78.018394,
1120,57.716163,18.239852,46.059694,93.543556,47.748150,107.487213
1128,,40.449496,,,99.634865,
1136,,34.476075,54.132637,,77.191193,95.138641
1144,,35.344487,,,82.717010,
1152,59.839548,17.531063,39.961809,83.554848,49.675663,97.335510
1160,,40.744273,,,90.349030,
1168,,34.590784,38.551338,,98.989960,60.186703
1176,,45.155830,,,100.823212,
1184,46.900439,15.853822,41.082113,74.077065,35.734043,91.767380
1192,,33.840290,,,101.585602,
1200,,49.826238,37.016234,,100.264992,70.114098
1208,,38.967970,,,98.197701,
1216,60.675000,13.198212,46.218998,108.672127,21.071085,93.851204
1224,,37.518477,,,100.269028,
1232,,35.728639,41.117937,,90.460800,92.954277
1240,,34.434714,,,98.117508,
1248,51.806863,15.580831,41.707479,75.319176,30.057379,76.805725
1256,,31.963431,,,52.357597,
1264,,44.205390,34.583123,,100.100708,78.469528
1272,,34.827201,,,60.957390,
1280,52.614850,21.114930,63.431284,85.409325,92.360680,96.636818
1288,,44.518692,,,96.761459,
1296,,51.592033,42.233244,,96.164963,80.415337
1304,,37.574745,,,80.834465,
1312,56.461909,15.791344,53.841686,102.190018,44.852665,103.634773
1320,,33.757697,,,61.302525,
1328,,47.469055,39.199321,,97.457436,78.682640
1336,,53.750379,,,105.905937,
1344,50.419294,16.429763,50.647662,81.552139,45.964554,98.069199
1352,,37.023131,,,78.095589,
1360,,54.781147,69.602377,,102.321136,101.218712
1368,,52.643304,,,102.236237,
1376,61.650967,14.350152,46.562114,109.030128,22.115658,113.370583
1384,,38.007161,,,98.217636,
1392,,35.327603,34.556840,,65.635979,51.238651
1400,,43.719852,,,79.807922,
1408,52.709041,23.661473,43.675001,102.513138,76.398956,102.697884
1416,,46.579118,,,85.157829,
1424,,39.455751,36.811907,,76.756744,62.165062
1432,,34.492040,,,63.634830,
1440,61.552202,25.898816,48.804286,102.657303,75.257843,80.976173
