M/N/K,Performance(M),Performance(N),Performance(K),Performance(M)max,Performance(N)max,Performance(K)max
64,1.964482,0.974017,0.309115,4.697678,2.450706,0.352702
128,2.592941,2.718578,1.816145,8.754708,6.194094,6.180635
192,0.983169,4.875005,3.748064,1.011055,10.255254,8.829235
256,3.430444,3.082093,1.217231,8.399144,11.813695,1.300412
320,4.242344,4.941949,2.515236,6.606883,12.122718,2.828246
384,4.642495,2.408703,4.291988,6.847986,3.320392,11.094167
448,7.310734,2.826609,5.663824,15.038090,4.556883,14.850999
512,4.374072,3.261943,3.577554,5.876039,6.278507,12.145900
576,7.636905,2.866596,7.933421,13.879722,4.545793,14.941703
640,7.490840,3.376788,8.598780,13.322504,6.402906,13.677166
704,9.418955,4.161646,5.635887,14.451525,11.638497,13.335880
768,2.863970,4.446544,3.241742,2.986419,14.552516,4.822873
832,7.771860,6.120321,9.500378,10.161694,13.973689,14.398362
896,7.758409,5.297983,10.071690,9.927919,6.257041,14.907868
960,8.190042,4.669187,9.216067,9.689891,7.043860,12.053308
1024,7.534580,6.253292,6.083619,10.639012,15.202959,9.079932
1088,7.591104,9.406402,10.551548,12.922451,15.597046,13.721768
1152,7.940224,8.849448,9.849195,11.487557,14.178611,15.073958
1216,10.014241,8.319960,10.098030,14.745922,12.690772,13.651460
1280,6.909916,9.024346,7.802596,11.527312,15.770530,13.870088
1344,9.564098,8.827418,9.432487,11.114879,15.069666,12.011751
1408,9.145700,7.772544,9.687377,14.039068,14.967055,12.399985
1472,10.248419,8.941851,10.049350,15.702140,15.691551,12.815077
1536,5.452101,7.128210,6.544298,7.291091,10.422154,12.028536
1600,9.412709,7.890865,9.324608,11.870076,12.723207,13.117137
1664,9.834937,6.307853,8.033226,15.317325,8.681520,12.661941
1728,10.838346,8.848426,9.789615,15.429176,12.839007,10.769261
1792,8.004620,8.971880,8.219898,14.343351,11.710374,12.748848
1856,11.401638,9.252577,9.837540,15.647114,11.311867,11.170526
1920,12.076701,10.571159,9.958520,16.967500,16.390916,11.337729
1984,10.790050,11.132650,11.402050,12.605879,15.346646,13.964621
2048,7.037024,9.193693,8.147898,10.239336,11.510194,10.587942
2112,12.162314,10.209966,10.568339,14.406400,15.693376,12.810146
2176,10.778091,9.165469,11.393537,13.661423,16.531648,13.233563
2240,12.233037,10.236027,10.877369,15.633437,14.433440,11.657353
2304,8.821640,11.634785,8.074036,12.212374,16.633998,12.206430
2368,11.712476,9.574071,10.433821,13.780066,12.283073,12.049421
2432,12.108804,9.777135,10.088174,14.281608,10.405213,11.953076
2496,11.227424,11.281496,10.810600,13.481826,15.436903,13.665143
2560,9.087765,10.933728,11.790805,14.036585,14.600472,15.114502
2624,12.712288,10.224033,10.244269,15.680384,14.526110,12.308936
2688,13.136736,11.079995,10.614936,15.265265,16.079088,11.469321
2752,12.832846,10.999979,10.570016,13.866228,15.902926,13.063757
2816,9.682632,11.072064,11.640387,16.203229,14.374221,14.604324
2880,13.629345,12.035513,11.065198,16.016355,16.201328,12.622599
2944,13.718075,11.340362,10.779978,16.217201,14.136716,11.482341
3008,14.012902,12.751665,11.447907,16.800617,16.993593,12.905736
3072,10.049510,10.862977,9.367069,13.443893,15.984636,11.410818
3136,13.665582,12.274316,10.963757,16.939529,14.705458,12.667636
3200,12.357810,11.507131,11.385354,15.493572,11.581604,12.542223
3264,13.962786,12.860113,10.997507,17.686492,14.341915,13.267556
3328,11.795306,11.640564,12.191356,16.254154,14.471300,14.696785
3392,13.353364,12.792823,11.647102,14.250305,15.866181,12.985899
3456,13.571636,11.543297,11.651700,15.434076,14.431460,13.051535
3520,14.473620,11.510895,10.595139,18.279560,14.931748,12.978355
3584,9.362749,10.715737,9.689744,11.198384,13.922569,11.961178
3648,13.449486,11.709896,13.401785,15.762652,13.052331,15.683603
3712,12.677592,12.234588,12.955523,13.847230,14.191629,15.443950
3776,13.424302,12.596268,12.804564,14.124159,15.299532,14.677101
3840,10.976994,12.775743,11.617502,16.526268,14.729534,13.668611
3904,13.727610,12.445715,12.196141,15.038362,15.448141,13.266128
3968,13.330122,13.009980,12.058173,14.579510,15.213214,13.565795
4032,13.610758,12.674534,11.319198,14.839463,15.875920,11.919929
4096,8.791333,12.558835,9.419370,11.228969,13.887294,10.867367
